,comment,corridorCode,productIdentification,productHour,offeredCapacity,requestedCapacity,allocatedCapacity,auctionPrice,additionalMessage,datetime
0,,PL-UA,B06-------,05:00-06:00,32.0,69.0,32.0,0.1,,2024-04-05 05:00:00
1,,PL-UA,B07-------,06:00-07:00,32.0,69.0,32.0,0.66,,2024-04-05 06:00:00
2,,PL-UA,B08-------,07:00-08:00,14.0,33.0,14.0,5.0,,2024-04-05 07:00:00
3,,PL-UA,B09-------,08:00-09:00,0.0,0.0,0.0,0.0,,2024-04-05 08:00:00
4,,PL-UA,B10-------,09:00-10:00,0.0,0.0,0.0,0.0,,2024-04-05 09:00:00
5,,PL-UA,B11-------,10:00-11:00,0.0,0.0,0.0,0.0,,2024-04-05 10:00:00
6,,PL-UA,B12-------,11:00-12:00,0.0,0.0,0.0,0.0,,2024-04-05 11:00:00
7,,PL-UA,B13-------,12:00-13:00,0.0,0.0,0.0,0.0,,2024-04-05 12:00:00
8,,PL-UA,B14-------,13:00-14:00,0.0,0.0,0.0,0.0,,2024-04-05 13:00:00
9,,PL-UA,B15-------,14:00-15:00,0.0,0.0,0.0,0.0,,2024-04-05 14:00:00
10,,PL-UA,B16-------,15:00-16:00,50.0,105.0,49.0,0.1,,2024-04-05 15:00:00
11,,PL-UA,B17-------,16:00-17:00,87.0,179.0,87.0,0.1,,2024-04-05 16:00:00
12,,PL-UA,B18-------,17:00-18:00,123.0,251.0,123.0,0.39,,2024-04-05 17:00:00
13,,PL-UA,B19-------,18:00-19:00,214.0,647.0,214.0,10.0,,2024-04-05 18:00:00
14,,PL-UA,B20-------,19:00-20:00,255.0,780.0,255.0,10.0,,2024-04-05 19:00:00
15,,PL-UA,B21-------,20:00-21:00,196.0,603.0,196.0,10.0,,2024-04-05 20:00:00
16,,PL-UA,B22-------,21:00-22:00,141.0,287.0,141.0,0.02,,2024-04-05 21:00:00
17,,PL-UA,B23-------,22:00-23:00,32.0,69.0,32.0,0.1,,2024-04-05 22:00:00
18,,PL-UA,B24-------,23:00-24:00,0.0,0.0,0.0,0.0,,2024-04-05 23:00:00
19,,PL-UA,B01-------,00:00-01:00,32.0,69.0,32.0,0.1,,2024-04-05 00:00:00
20,,PL-UA,B02-------,01:00-02:00,32.0,69.0,32.0,0.1,,2024-04-05 01:00:00
21,,PL-UA,B03-------,02:00-03:00,32.0,69.0,32.0,0.1,,2024-04-05 02:00:00
22,,PL-UA,B04-------,03:00-04:00,32.0,69.0,32.0,0.1,,2024-04-05 03:00:00
23,,PL-UA,B05-------,04:00-05:00,32.0,69.0,32.0,0.1,,2024-04-05 04:00:00
24,,PL-UA,B01-------,00:00-01:00,0.0,0.0,0.0,0.0,,2024-04-06 00:00:00
25,,PL-UA,B02-------,01:00-02:00,0.0,0.0,0.0,0.0,,2024-04-06 01:00:00
26,,PL-UA,B03-------,02:00-03:00,0.0,0.0,0.0,0.0,,2024-04-06 02:00:00
